购买车型,购买地点,购买经销商,购买时间,购买裸车价,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,口碑
秦                        2018款 秦EV450 智联尊尚型,广州 ?,广州宝昊城比亚迪,2018年11月,15.98?万元                                补贴后,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,商务接送,【最满意的一点】首先就是动力，然后就是外观、空间了。动力很暴躁，一踩就来。还有这个绿牌不限号，省去了出门还要看日子的苦恼，想什么时候开就什么时候开了，对比那些车子买来一年只能开半年的燃油车，我这是狠狠的赚到了。【最不满意的一点】提车的时间太久了，一个多月才提上这个车。【空间】空间：车子上每个位置我都试过了，前排的空间不用多说，每辆车肯定都会优先考虑到的，第二排在前排的人调好位置做好之后，，基本还能有七八公分的腿部距离，坐久还是觉得轻松的，不会出现不舒服的现象。后备箱的开口比较大，也比较深，所以横着竖着放都是很方便，省去不少找位置的麻烦【动力】动力：动力无需怀疑，动力是新能源车除了能耗方面最引以为豪的优势。像汽油一样，一点就燃，动力立马就有，推背感十足，真的...
秦                        2018款 秦EV450 智联尊尚型,福州 ?,福州盛世开元比亚迪,2018年11月,16.15?万元                                补贴后,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,【最满意的一点】续航长！购买新能源纯电车型之前，我一直比较关心的就是这个车子的续航问题。所以决心买新能源车型的时候，咨询过很多朋友，最终就看中了秦EV450，因为它的续航里程很长，足够应付我日常通勤、自驾游等需求！【最不满意的一点】为什么现在新能源这么流行呢，优点实在太多。好的地方可以遮掉那些不好的地方带来的影响，所以我目前觉得也没有什么不满意的地方，就几个小毛病也在我接受的范围之内。【空间】大小还是合适的。后排的凸起不会很高，正常一家五口出行是没什么问题的。尾箱的容量也还是不错了，日常的放东西也是够够的。【动力】纯电车动力真的是会比烧汽油的好出不少。动力响应很快，动力的输出也是非常的线性，中后段也不会有疲软的现象，马力依然足足的。偶尔想要开得比较狠的时候，也是完...
秦                        2018款 秦EV450 智联尊尚型,厦门 ?,2018年10月,16.38?万元                                补贴后,19.0?千瓦时/百公里3000?公里,5,5,5,5,5,5,4,5,上下班,购物,接送小孩,商务接送,【最满意的一点】价格和配置方面都是有一个挺让我满意，外观的设计也是比较在线，内饰没有国产一贯那样老旧，看着挺有感觉，本身纯电带来的静谧性再加上外部隔音方面座椅方面处理得很好，使得乘坐的舒适感大大提升。【最不满意的一点】要说个不喜欢的地方就是新能源的普及还是没有大规模来吧，这让我们这属于先吃螃蟹的人不是那么方便，充电的问题一直是心头大患，希望普及能快点。【空间】空间的大小方面还是足够家用的。中控：储物的地方很多，算是做得很细致的，手机钱包不怕没地方放，尤其是那个烟灰缸的设计，弹烟灰的时候不会溅出来，很好的设计。前排：我朋友182的身高开我的车，头部还能差不多留出四指的空间，腿部问他也不会挤，还是很足的。后排：前排的人座椅调成舒适的位置之后，我坐在后面还能有差不多一拳的头部空...
秦                        2018款 秦EV450 智联尊尚型,泉州 ?,福建粤迪比亚迪4S店,2018年9月,16.35?万元                                补贴后,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,,【最满意的一点】每个选择新能源无非两个原因，一是指标问题，二是油费问题。我就是后者这种情况，自己家里有停车位可以弄个充电桩，每年跑的里程也不少，都是市区或周边的中短途的跑，我相信新能源会更适合我，肯定能给我省不下不少油钱！【最不满意的一点】挑个不满意的估计就是后备箱的空间了，没我想象中大，要是再大一点就好了，当初看车试驾的时候感觉挺大的，结果用下来发现还是有点略小，再稍微大一点点就够。【空间】最为了一款家庭轿车，秦的空间还是比较符合标准。前排后排的空间表现都是一个很不错的水平，只是后备箱略小，可能是因为我的需要用来放点货，用我的眼光看所以觉得小一点，正常家庭使用的话应该是一个正常的空间了，放两个行李箱还是没问题的。【动力】在新能源面前谈动力都是班门弄斧，7.9s的...
秦                        2018款 秦EV450 智联尊尚型,福州 ?,美嘉鑫迪比亚迪,2018年11月,16.88?万元                                补贴后,4,5,4,5,5,5,5,5,上下班,购物,接送小孩,自驾游,【最满意的一点】续航长，配置丰富，设计很新颖，无论外观还是内饰的设计我都比较喜欢。【最不满意的一点】没有led大灯，虽然尾灯还有日行车都用上了led，但是如果大灯也是led就更好了【空间】空间就是中规中矩的A级车空间，但后排和后备箱的空间分配上还是处理得比较合理的，最大程度上了照顾了后排空间了，毕竟车子坐人是主要的，这一点还是蛮满意的。【动力】虽然官方说加速是7.9s，甚至尾标上也注明了，但是我觉得这还是个偏保守的数字。我自己测试的时候，天气比较好，路面比较干燥，温度大概是25度左右，有一次跑出了6秒多的成绩。平时开在路上，2.5L以下的车子根本不放眼里，基本没一个跑得过我。【操控】方向盘很软，不像运动车型那重重重的感觉，开起来还是不费任何力气，很轻松。速...
秦                        2018款 秦EV450 智联尊尚型,武汉 ?,武汉市盛世王朝汉街店,2018年6月,24.18?万元,5,5,5,5,5,4,4,4,上下班,购物,接送小孩,,【最满意的一点】最满意的肯定是新能源的优势了！不限行纯电环保这点就不用说了，主要还是经济实惠，油价一直涨，心底老是慌慌的，用电的话就没这个担心。因为是用电的，车子加速啊，噪音方面都是一流的水平。【最不满意的一点】对这个车没有什么不满意的，要说不满意的还是现在充电桩的数量吧，但这点我相信随着新能源的普及，情况肯定会得到改善的，只要在等上一段时间就可以了！【空间】空间我觉得在同级别中还算是不错的，前排空间很大，右脚也不会顶到中控台那个地方，然后前排在我调到最合适最舒服的情况下，后排还能有挺大的空间，一点也不会挤，还有就是后备箱的空间表现也不错。【动力】要说新能源的好，就好在这，动力响应非常的快，一点迟钝的感觉都不会有，这点就比传统燃油的好，加速方面简直就是个怪兽，一脚...
秦                        2018款 秦EV450 智联锋尚型,佛山 ?,佛山键马比亚迪,2018年3月,15.88?万元                                补贴后,5,5,5,5,4,5,5,5,上下班,购物,,,【最满意的一点】最满意的要说就是省钱了，买新能源也就是看中了这一点，和燃油车想比，简直是不知道节省了多少钱，充一次我可以用个六七天，平日，上下班也不远，周末出去玩就另当别论了。【最不满意的一点】不知道为什么偶尔有时候无钥匙进入会失灵，跑高速的时候胎噪比较大，可能是因为平时跑市区太安静了吧，反差挺大的。【空间】乘坐空间很合理，我一般就是驾驶室了，副驾驶感受过，也不错，我175，感觉不管是腿部，还是头部空间，都很合理。180的朋友也坐过我的车，也没有抵到头，后排空间可以接受，毕竟买车的时候就没有追求那么大的空间，两三个人坐着也是还不错，当然要是再大一点当然更好咯。【动力】总体而言不错，毕竟不是燃油车，也没有那么大的要求。要说就是起步的感觉不是很顺畅吧，开了一段之后就觉...
秦                        2018款 秦EV450 智联尊尚型,北京 ?,环耀盛世,2018年8月,16.88?万元                                补贴后,5,5,5,5,5,5,4,5,上下班,购物,,,【最满意的一点】怎么说呢，对于车的整体表现感觉还是挺满意的，至少现在在使用过程中没有什么过什么大问题，如果让说最满意的一点的话，就是它的外观造型吧，外观整体造型时尚大气的感觉，加上秦的标志满满的中国风。【最不满意的一点】虽然是自己选择的，但处于实用的角度来看的话，这款车我一直挺满意，但如果追求细节上的精致感的话，不得不吐槽一些车内的内饰用料了，整体感觉做工上的材质用料有种塑料感，但至少这点上不会影响到使用。【空间】车内的空间总体看布局的话还是挺宽敞的，能满足一个家庭的出行空间，不管是乘坐空间还是驾驶空间，至少在腿部位置的空间是不需要有压抑感的，腿部基本可以得到满足的伸展感，后备箱的储物空间也实用。【动力】基本的代步动力还是挺满足的，平时车子也是行驶的路段比较偏向市...
秦                        2018款 秦EV450 智联时尚型,成都 ?,成华比亚迪新能源中心,2018年8月,14.88?万元                                补贴后,4,5,5,5,4,5,5,5,上下班,购物,,,【最满意的一点】最满意就是省钱。平时上班路程每天大概20公里，每百公里大概15度电，合每公里不到1毛钱。每年大概可以节省大概6000左右的油费，晚上回家可以充电，单位也可以可以充，不过在单位就得用慢充了。现在天较冷了，行驶里程也没有缩减，只要不乱超车，这个车特别省电的。【最不满意的一点】暂时还没有不满意的地方，要是非得挑一点，后排座椅不能调节，影响后排乘客的舒适性。【空间】里边空间着实不小，平时就我自己开，偶尔顺下同事，因为都是比较瘦的女生，所以显得腿部空间相当充裕，第二排座椅不能调节，这点挺烦的。【动力】动力比小排量的油车要好很多，不过我是新手女司机，肯定要以安全为主，目前没有上过高速，市区最快也就80迈，市区超车的时候很轻松，不知道到高速上超车给不给力。到后期...
秦                        2018款 秦EV450 智联锋尚型,海口 ?,海口翔迪汽车服务有限公司,2018年10月,15.99?万元                                补贴后,4,5,5,4,4,5,5,5,上下班,购物,接送小孩,,【最满意的一点】这款车到手后最满意的地方就是感觉用车成本真是太底了，而且我这次选车的关键也是冲着这个“省”才买的秦，我之前开的是汽油车消耗品必然是汽油，现在升级纯电车型后基本就是一周充一次电，现在跑了有800公里了，算了下平均是1角一公里吧，这个养车成本来说真是意料之外的，也是最满意的。【最不满意的一点】不满意的地方就是新车的异味比较大，天天开窗通风现在还是大，油门的调校有些过于灵敏了，才开始接触纯电动的油门还是有少许的不适应，还有就是胎噪比较大，80迈以上后比较大。【空间】空间上中规中矩吧，不大不小的刚好一家人用车的标准，完全是A级车型的空间标准，前后排表现也不错，我是175的身高，前排调整好的情况下后排腿部有一拳半的活动空间，而且座椅的设计也挺宽的腿部的支撑都很棒。储...
