购买车型,购买地点,购买时间,购买裸车价（万元）,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,汽车类型,最满意的一点,最不满意的一点
2018款 秦EV450 智联尊尚型,广州,2018年11月,15.98,5,5,5,5,4,5,5,5,上下班,购物,接送小孩,商务接送,EV,首先就是动力，然后就是外观、空间了。动力很暴躁，一踩就来。还有这个绿牌不限号，省去了出门还要看日子的苦恼，想什么时候开就什么时候开了，对比那些车子买来一年只能开半年的燃油车，我这是狠狠的赚到了。,提车的时间太久了，一个多月才提上这个车。
2018款 秦EV450 智联尊尚型,福州,2018年11月,16.15,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,EV,续航长！购买新能源纯电车型之前，我一直比较关心的就是这个车子的续航问题。所以决心买新能源车型的时候，咨询过很多朋友，最终就看中了秦EV450，因为它的续航里程很长，足够应付我日常通勤、自驾游等需求！,为什么现在新能源这么流行呢，优点实在太多。好的地方可以遮掉那些不好的地方带来的影响，所以我目前觉得也没有什么不满意的地方，就几个小毛病也在我接受的范围之内。
2018款 秦EV450 智联尊尚型,厦门,2018年10月,16.38,5,5,5,5,5,5,4,5,上下班,购物,接送小孩,商务接送,EV,价格和配置方面都是有一个挺让我满意，外观的设计也是比较在线，内饰没有国产一贯那样老旧，看着挺有感觉，本身纯电带来的静谧性再加上外部隔音方面座椅方面处理得很好，使得乘坐的舒适感大大提升。,要说个不喜欢的地方就是新能源的普及还是没有大规模来吧，这让我们这属于先吃螃蟹的人不是那么方便，充电的问题一直是心头大患，希望普及能快点。
2018款 秦EV450 智联尊尚型,泉州,2018年9月,16.35,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,,EV,每个选择新能源无非两个原因，一是指标问题，二是油费问题。我就是后者这种情况，自己家里有停车位可以弄个充电桩，每年跑的里程也不少，都是市区或周边的中短途的跑，我相信新能源会更适合我，肯定能给我省不下不少油钱！,挑个不满意的估计就是后备箱的空间了，没我想象中大，要是再大一点就好了，当初看车试驾的时候感觉挺大的，结果用下来发现还是有点略小，再稍微大一点点就够。
2018款 秦EV450 智联尊尚型,福州,2018年11月,16.88,4,5,4,5,5,5,5,5,上下班,购物,接送小孩,自驾游,EV,续航长，配置丰富，设计很新颖，无论外观还是内饰的设计我都比较喜欢。,没有led大灯，虽然尾灯还有日行车都用上了led，但是如果大灯也是led就更好了
2018款 秦EV450 智联尊尚型,武汉,2018年6月,24.18,5,5,5,5,5,4,4,4,上下班,购物,接送小孩,,EV,最满意的肯定是新能源的优势了！不限行纯电环保这点就不用说了，主要还是经济实惠，油价一直涨，心底老是慌慌的，用电的话就没这个担心。因为是用电的，车子加速啊，噪音方面都是一流的水平。,对这个车没有什么不满意的，要说不满意的还是现在充电桩的数量吧，但这点我相信随着新能源的普及，情况肯定会得到改善的，只要在等上一段时间就可以了！
2018款 秦EV450 智联锋尚型,佛山,2018年3月,15.88,5,5,5,5,4,5,5,5,上下班,购物,,,EV,最满意的要说就是省钱了，买新能源也就是看中了这一点，和燃油车想比，简直是不知道节省了多少钱，充一次我可以用个六七天，平日，上下班也不远，周末出去玩就另当别论了。,不知道为什么偶尔有时候无钥匙进入会失灵，跑高速的时候胎噪比较大，可能是因为平时跑市区太安静了吧，反差挺大的。
2018款 秦EV450 智联尊尚型,北京,2018年8月,16.88,5,5,5,5,5,5,4,5,上下班,购物,,,EV,怎么说呢，对于车的整体表现感觉还是挺满意的，至少现在在使用过程中没有什么过什么大问题，如果让说最满意的一点的话，就是它的外观造型吧，外观整体造型时尚大气的感觉，加上秦的标志满满的中国风。,虽然是自己选择的，但处于实用的角度来看的话，这款车我一直挺满意，但如果追求细节上的精致感的话，不得不吐槽一些车内的内饰用料了，整体感觉做工上的材质用料有种塑料感，但至少这点上不会影响到使用。
2018款 秦EV450 智联时尚型,成都,2018年8月,14.88,4,5,5,5,4,5,5,5,上下班,购物,,,EV,最满意就是省钱。平时上班路程每天大概20公里，每百公里大概15度电，合每公里不到1毛钱。每年大概可以节省大概6000左右的油费，晚上回家可以充电，单位也可以可以充，不过在单位就得用慢充了。现在天较冷了，行驶里程也没有缩减，只要不乱超车，这个车特别省电的。,暂时还没有不满意的地方，要是非得挑一点，后排座椅不能调节，影响后排乘客的舒适性。
2018款 秦EV450 智联锋尚型,海口,2018年10月,15.99,4,5,5,4,4,5,5,5,上下班,购物,接送小孩,,EV,这款车到手后最满意的地方就是感觉用车成本真是太底了，而且我这次选车的关键也是冲着这个“省”才买的秦，我之前开的是汽油车消耗品必然是汽油，现在升级纯电车型后基本就是一周充一次电，现在跑了有800公里了，算了下平均是1角一公里吧，这个养车成本来说真是意料之外的，也是最满意的。,不满意的地方就是新车的异味比较大，天天开窗通风现在还是大，油门的调校有些过于灵敏了，才开始接触纯电动的油门还是有少许的不适应，还有就是胎噪比较大，80迈以上后比较大。
2018款 秦EV450 智联尊尚型,广州,2018年9月,16.88,5,5,5,5,4,5,4,5,上下班,,,,EV,"我对我的这款车整体还是挺喜欢的,我感觉性价比还行,看了不少的新能源车我还是挺喜欢秦这款车的外观,感觉比较别致新颖,性能配置上也是够用，车子的能耗相对比较低,感觉使用起来还是挺节省的,关键现在也是提倡节能环保,代步使用合适。","车子悬挂稍微有点硬，感觉滤震的效果一般,车子高速过减速带的时候颠簸感有点厉害,舒适性上稍微有点打折扣,新车还稍微有点异味,通了几天风减轻不少,其他没什么大问题。"
2018款 秦EV450 智联尊尚型,上海,2018年9月,26.07,4,5,5,5,4,5,5,5,上下班,购物,,,EV,买的是顶配的版本，落地价还算可以吧。前排座椅的功能还算丰富，有加热和通风功能。不管是天气冷还是天气热，开起来都挺舒服的。加上配置也还不错，前后雷达和全景影像等等，开起来还是挺方便的，新手上路的话，也不用担心那些刮蹭问题。它的续航能力还是很不错的，用快充充电桩的话，基本上一个多小时就能够充满。,我觉得最不满意的地方就是储物空间，这款车的空间还算是比较大的，而且储物空间也算是大的。不过在设计上的话，我觉得不是那么的合理。有时候有些小件的物品放进去，会觉得不太那么容易找到，可能也和它没有分层设计有关。我觉得如果有分层设计的话，会更方便一点。
2018款 秦EV450 智联尊尚型,深圳,2018年6月,16.88,4,5,5,5,5,5,4,5,上下班,,,,EV,我对这辆车最满意的地方就是这辆车的养车费用上，作为一个纯电动车保养的钱就比汽油车省了不少，另外在油价不断上涨的今天，我再也不需要去加油站加油了，省下不少钱的同时还省下了去加油站排队的时间。,我对这辆车的内饰的配色设计不是特别满意，我觉得内饰和座椅的配色不好看，看起来稍微显得有点老气，跟这辆车相对年轻时尚的外观造型不同步。我觉得这辆车的内饰的设计和配色可以更年轻时尚些。另外新车的时候内饰的味道稍微有些大，这点挺不好的。
2018款 秦EV450 智联尊尚型,海口,2018年9月,16.99,4,5,5,4,4,4,5,5,上下班,购物,接送小孩,,EV,入手到现在对我来说最满意的地方就是“省”，选择了秦的新能源与电相处，换来的就是更低的养车费用，入手到现在跑了有900多公里了，总共充电就三次，慢充一般充满电大约20元左右的电费，市区续航里程300 公里，费用上不到一角一公里，身为秦的车主这点是必须满意的。,最不满意的地方还是感觉隔音差了些，都说电动车安静，但是个人感觉大家都忽略了电机吧，秦的电机还是比较大的，加速过程的电流声还是比较明显的，对我而言就是隔音不行，其他来说暂时都挺满意的，后续用车再来做补充。
